code_insee,prefixe,section,numero,geojson,min_lon,min_lat,max_lon,max_lat,surface_m2
31555,806,AD,524,"{""type"":""Polygon"",""coordinates"":[[[1.4563985,43.6090889],[1.4563726,43.6091779],[1.4563495,43.6092698],[1.4563009,43.6092693],[1.4562898,43.6092692],[1.456235,43.6092688],[1.4561936,43.6092683],[1.456212,43.609208],[1.4562165,43.6091939],[1.4562465,43.6090968],[1.4563985,43.6090889]]]}",1.4561936,43.6090889,1.4563985,43.6092698,237
31555,806,AD,547,"{""type"":""Polygon"",""coordinates"":[[[1.4561936,43.6092683],[1.4561586,43.6093479],[1.4561194,43.609432],[1.4560131,43.6093842],[1.4560684,43.6092995],[1.456088,43.6092699],[1.4561015,43.609248],[1.4561444,43.6092573],[1.4561686,43.6092628],[1.4561936,43.6092683]]]}",1.4560131,43.609248,1.4561936,43.609432,152
31555,806,AD,548,"{""type"":""Polygon"",""coordinates"":[[[1.4561015,43.609248],[1.456088,43.6092699],[1.4560684,43.6092995],[1.4560131,43.6093842],[1.4559605,43.6093606],[1.4560179,43.6092829],[1.4560387,43.6092578],[1.4560424,43.609254],[1.4560542,43.6092375],[1.4560801,43.6092432],[1.4561015,43.609248]]]}",1.4559605,43.6092375,1.4561015,43.6093842,68
31555,806,AD,523,"{""type"":""Polygon"",""coordinates"":[[[1.4561936,43.6092683],[1.4561686,43.6092628],[1.4561444,43.6092573],[1.4561015,43.609248],[1.4560801,43.6092432],[1.4560542,43.6092375],[1.4560671,43.6092122],[1.4561231,43.6091031],[1.4562465,43.6090968],[1.4562165,43.6091939],[1.456212,43.609208],[1.4561936,43.6092683]]]}",1.4560542,43.6090968,1.4562465,43.6092683,184
31555,806,AD,549,"{""type"":""Polygon"",""coordinates"":[[[1.4560542,43.6092375],[1.4560424,43.609254],[1.4560387,43.6092578],[1.4560179,43.6092829],[1.4559605,43.6093606],[1.4558259,43.6093],[1.4558333,43.6092594],[1.4558641,43.6091954],[1.4559843,43.6092219],[1.4560062,43.6092268],[1.456033,43.6092327],[1.4560542,43.6092375]]]}",1.4558259,43.6091954,1.4560542,43.6093606,195
31555,806,AD,665,"{""type"":""Polygon"",""coordinates"":[[[1.4560542,43.6092375],[1.456033,43.6092327],[1.4560062,43.6092268],[1.4559843,43.6092219],[1.4558641,43.6091954],[1.4558832,43.6091558],[1.4560035,43.6091821],[1.4560402,43.6091074],[1.4561231,43.6091031],[1.4560671,43.6092122],[1.4560542,43.6092375]]]}",1.4558641,43.6091031,1.4561231,43.6092375,134
31555,806,AD,520,"{""type"":""Polygon"",""coordinates"":[[[1.4560402,43.6091074],[1.4560035,43.6091821],[1.4558832,43.6091558],[1.4559031,43.6091145],[1.4560402,43.6091074]]]}",1.4558832,43.6091074,1.4560402,43.6091821,68
31555,806,AD,514,"{""type"":""Polygon"",""coordinates"":[[[1.4560855,43.6087274],[1.4561535,43.6085865],[1.4563613,43.6086028],[1.4563921,43.6086053],[1.456437,43.6086087],[1.4564025,43.6087054],[1.456399,43.6087164],[1.4563912,43.60874],[1.456386,43.6087556],[1.4563698,43.6087994],[1.4563372,43.6087913],[1.4563227,43.6087875],[1.4562705,43.608774],[1.4562283,43.6087631],[1.4560855,43.6087274]]]}",1.4560855,43.6085865,1.456437,43.6087994,451
31555,806,AD,515,"{""type"":""Polygon"",""coordinates"":[[[1.4560855,43.6087274],[1.4562283,43.6087631],[1.4562705,43.608774],[1.4563227,43.6087875],[1.456293,43.608851],[1.4562481,43.608839],[1.4562429,43.6088378],[1.4561985,43.6088258],[1.4560559,43.6087888],[1.4560855,43.6087274]]]}",1.4560559,43.6087274,1.4563227,43.608851,145
31555,806,AD,497,"{""type"":""Polygon"",""coordinates"":[[[1.4563227,43.6087875],[1.4563372,43.6087913],[1.4563698,43.6087994],[1.456386,43.6087556],[1.4564927,43.60877],[1.456551,43.6087776],[1.456565,43.6087797],[1.4565851,43.6087827],[1.4566713,43.6087939],[1.4567367,43.6088025],[1.4569056,43.6088233],[1.4569055,43.6089916],[1.4567429,43.6089997],[1.4564356,43.6090149],[1.4563319,43.60902],[1.4563284,43.6089423],[1.4563259,43.6088923],[1.4563255,43.6088756],[1.4563232,43.6088592],[1.4563062,43.6088537],[1.456293,43.608851],[1.4563227,43.6087875]]]}",1.456293,43.6087556,1.4569056,43.60902,1109
31555,806,AD,516,"{""type"":""Polygon"",""coordinates"":[[[1.4560559,43.6087888],[1.4561985,43.6088258],[1.4562429,43.6088378],[1.4562481,43.608839],[1.456293,43.608851],[1.4563062,43.6088537],[1.4563232,43.6088592],[1.4563255,43.6088756],[1.4563259,43.6088923],[1.4562717,43.608884],[1.4562534,43.6089196],[1.4560156,43.6088723],[1.4560559,43.6087888]]]}",1.4560156,43.6087888,1.4563259,43.6089196,188
